No.,Initial,Gender,Age,Class,Smartphone-usage Duration,Social Media Usage,The Most Frequent Access,1,2,3,4,5,6,7,8,9,10,Total,Result
256,MDAH,1,13,1,3,1,5,4,5,3,3,4,5,3,2,3,3,35,1
257,N,0,12,1,2,1,5,4,3,1,1,4,1,1,3,6,4,28,0
258,A,1,13,1,4,1,2,4,4,4,4,5,3,4,3,5,6,42,1
259,EAD,0,13,1,4,1,3,5,4,3,4,3,4,2,3,5,5,38,1
260,ARN,0,14,1,4,1,1,3,4,1,4,5,4,2,3,4,5,35,1
261,NSK,0,13,1,4,1,3,3,3,3,3,4,3,3,4,5,4,35,1
262,SA,0,14,1,4,1,3,6,3,3,6,5,3,5,5,6,5,47,1
263,ARA,1,13,1,2,1,2,3,3,3,2,3,5,4,3,3,5,34,1
264,FFA,0,15,3,4,1,3,3,4,4,1,6,3,4,5,5,3,38,1
265,L,0,12,1,1,1,1,2,2,3,4,4,4,2,3,2,4,30,0
266,ASSP,1,13,2,3,1,3,6,3,1,5,1,1,5,3,6,1,32,1
267,NA,0,13,1,4,1,3,5,5,4,5,6,6,6,6,5,6,54,1
268,F,1,15,3,3,1,3,3,1,4,3,3,4,5,5,5,3,36,1
269,IF,1,12,1,4,1,5,3,3,3,2,1,4,3,3,3,3,28,0
270,FSD,1,13,1,2,1,1,3,3,4,4,1,1,5,2,2,4,29,0
271,AN,0,14,2,2,1,3,5,4,5,2,3,3,3,4,4,3,36,1
272,F,0,12,1,2,1,2,4,5,4,4,2,2,3,2,4,3,33,1
273,RF,1,14,2,4,1,2,5,6,3,5,1,2,3,2,5,6,38,1
274,J,0,13,1,2,1,3,3,1,4,5,4,4,2,3,4,5,35,1
275,RH,0,13,1,2,1,5,5,4,4,2,2,2,3,2,2,3,29,0
276,R,0,14,2,4,1,3,4,3,2,5,3,1,3,2,3,5,31,0
277,Q,0,13,1,3,1,3,4,3,2,3,2,2,2,4,4,3,29,0
278,SH,0,12,1,2,1,3,2,3,1,5,3,1,1,1,4,4,25,0
279,FDB,1,12,1,2,1,3,4,3,3,4,4,3,3,3,4,4,35,1
280,AFI,1,13,1,3,1,3,3,3,5,3,4,4,3,5,5,3,38,1
281,B,0,13,1,2,1,3,2,2,2,5,4,3,4,4,4,3,33,1
282,S,0,15,3,2,1,3,4,2,5,2,2,2,3,2,5,4,31,0
283,RAA,0,12,1,2,1,3,2,4,4,4,2,2,2,2,5,2,29,0
284,MRT,1,12,1,4,1,2,4,2,1,1,6,4,6,5,5,2,36,1
285,HKA,0,15,2,3,1,3,4,4,3,2,2,1,1,2,4,4,27,0
286,A,0,13,1,1,1,3,5,2,4,5,3,3,3,3,4,2,34,1
287,S,0,15,3,4,1,5,5,2,6,4,5,1,3,1,5,4,36,1
288,WBTG,1,13,1,2,1,1,3,3,2,2,3,4,1,2,3,2,25,0
289,TPF,0,14,2,2,1,3,3,1,1,1,1,1,2,1,2,1,14,0
290,GN,1,13,1,1,0,1,1,2,5,2,3,6,1,2,2,1,25,0
291,N,0,15,2,1,1,1,6,6,4,4,3,3,4,4,4,2,40,1
292,ACP,1,13,1,2,1,2,3,5,4,3,2,2,4,3,4,4,34,1
293,F,0,14,2,4,1,3,3,3,4,2,3,3,4,3,4,3,32,0
294,AR,1,14,2,1,1,3,2,5,2,2,2,2,2,2,3,4,26,0
295,C,0,13,1,4,1,5,5,6,6,6,6,5,6,6,6,6,58,1
296,H,1,15,3,3,1,2,3,6,1,6,5,5,2,5,3,5,41,1
297,I,0,15,3,4,1,3,4,4,4,4,4,4,3,4,4,4,39,1
298,R,1,12,1,1,1,1,6,5,1,2,4,5,4,4,5,5,41,1
299,A,0,13,1,1,1,1,4,5,4,3,4,3,3,3,2,3,34,1
300,C,0,13,1,2,1,3,5,3,4,5,5,4,2,5,5,4,42,1
301,NP,1,14,2,2,1,3,3,2,5,3,2,4,3,3,2,3,30,0
302,SH,0,14,2,1,1,5,4,5,4,3,1,1,2,4,2,1,27,0
303,NS,0,15,2,3,1,5,6,4,5,6,4,3,3,4,5,6,46,1
304,D,1,14,2,3,1,3,3,5,2,3,2,2,4,4,5,5,35,1
305,M,0,15,3,3,1,3,5,2,4,5,4,2,2,5,6,5,40,1
306,RM,1,14,2,3,1,5,3,2,3,2,2,2,2,3,4,4,27,0
307,FS,1,14,2,2,1,1,2,5,5,5,3,4,3,5,2,2,36,1
308,FA,0,14,2,1,1,3,3,4,5,3,2,2,3,2,3,3,30,0
309,C,0,14,2,3,1,2,4,2,1,2,3,2,1,3,3,2,23,0
310,R,1,13,2,1,1,2,4,4,3,2,2,2,2,2,3,3,27,0
311,AMR,0,13,1,3,1,2,4,5,2,3,3,2,4,2,3,4,32,0
312,Ar,0,14,1,3,1,3,4,2,3,3,2,2,4,4,5,3,32,0
313,K,0,14,3,4,1,3,5,3,2,4,2,4,4,4,6,3,37,1
314,ACAIP,0,13,1,1,1,3,5,3,3,2,2,2,2,4,4,4,31,0
315,O,0,15,3,3,1,5,3,1,6,4,2,5,4,2,4,6,37,1
316,MOG,0,14,1,1,1,3,4,3,1,2,5,2,1,2,5,5,30,0
317,A,0,14,2,2,1,2,2,4,3,5,3,2,2,3,4,5,33,1
318,AKRR,1,14,2,2,1,3,3,5,5,5,2,5,5,3,2,5,40,1
319,MA,1,14,2,4,1,5,4,4,1,6,4,2,6,3,5,6,41,1
320,D,0,14,2,1,1,3,3,2,5,3,1,2,5,6,3,2,32,0
321,I,0,15,3,2,1,3,3,3,4,3,5,4,4,5,4,4,39,1
322,A******S*****P*****,1,14,2,2,1,3,3,4,2,3,1,1,3,5,2,3,27,0
323,A,0,14,2,2,1,3,4,5,4,1,1,2,2,1,1,3,24,0
324,MNA,1,13,1,1,1,2,4,2,5,4,2,3,4,2,4,2,32,1
325,M,0,14,1,2,1,3,5,6,4,5,5,4,5,4,5,4,47,1
326,MGP,1,13,1,1,1,3,4,2,2,2,2,2,2,3,1,2,22,0
327,R,1,15,2,2,1,2,3,4,1,4,2,1,1,5,3,1,25,0
328,C,0,15,2,4,1,1,3,3,1,3,1,3,2,3,1,3,23,0
329,A,1,14,2,3,0,2,4,4,2,2,3,2,3,2,3,4,29,0
330,R,1,12,1,4,1,2,3,2,3,4,2,2,2,2,4,3,27,0
331,N,0,15,2,3,1,3,5,2,2,6,5,3,4,4,3,2,36,1
332,A S,1,14,2,1,1,5,3,5,5,2,3,4,2,2,5,1,32,1
333,FN,1,14,2,1,1,3,5,1,4,6,5,2,2,2,5,2,34,1
